"P02 Census 2021: Usual resident population by five-year age group, local authorities in England and Wales [note 1]",,,,,,,,,,,,,,,,,,,,,,,
"England and Wales: regions (within England), unitary authorities, counties, districts, London boroughs",,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one dataset.,,,,,,,,,,,,,,,,,,,,,,,
Notes for the data can be found in the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,
Released: 28 June 2022,,,,,,,,,,,,,,,,,,,,,,,
Area code [note 2],Country,Region,Area name,All persons,"Aged 4 years and under
[note 12]","Aged 5 to 9 years
[note 12]","Aged 10 to 14 years
[note 12]","Aged 15 to 19 years
[note 12]","Aged 20 to 24 years
[note 12]","Aged 25 to 29 years
[note 12]","Aged 30 to 34 years
[note 12]","Aged 35 to 39 years
[note 12]","Aged 40 to 44 years
[note 12]","Aged 45 to 49 years
[note 12]","Aged 50 to 54 years
[note 12]","Aged 55 to 59 years
[note 12]","Aged 60 to 64 years
[note 12]","Aged 65 to 69 years
[note 12]","Aged 70 to 74 years
[note 12]","Aged 75 to 79 years
[note 12]","Aged 80 to 84 years
[note 12]","Aged 85 to 89 years
[note 12]","Aged 90 years and over
[note 12]"
E06000047,England,North East,County Durham,"522,100","24,800","28,400","29,500","31,200","33,100","29,200","30,700","30,600","29,200","31,600","37,900","39,500","35,100","31,000","30,700","21,700","15,100","8,500","4,300"
E06000005,England,North East,Darlington,"107,800","5,500","6,300","6,600","5,800","5,400","6,400","7,000","6,600","6,600","6,900","7,800","7,900","7,000","6,000","6,000","4,200","3,100","1,800","1,000"
E06000001,England,North East,Hartlepool,"92,300","5,000","5,600","5,900","5,200","5,100","5,500","5,900","5,500","5,100","5,400","6,600","7,100","6,300","5,300","5,100","3,200","2,500","1,500",700
E06000002,England,North East,Middlesbrough,"143,900","8,900","9,800","9,500","8,600","10,200","10,300","10,300","9,400","8,000","7,900","8,700","9,400","8,700","7,200","6,500","4,300","3,200","2,000","1,000"
E06000057,England,North East,Northumberland,"320,600","14,200","16,700","17,400","15,700","13,900","15,900","16,900","17,400","17,400","19,700","23,200","25,800","24,800","22,600","23,000","15,800","10,600","6,200","3,400"
E06000003,England,North East,Redcar and Cleveland,"136,500","6,800","7,900","8,000","7,100","6,600","7,500","7,900","7,600","7,300","7,900","10,000","10,700","9,600","8,500","8,700","6,300","4,500","2,500","1,300"
E06000004,England,North East,Stockton-on-Tees,"196,600","10,700","12,400","13,000","10,600","9,700","11,900","13,100","13,100","12,000","12,200","13,900","14,000","12,700","10,800","10,300","6,900","4,900","2,900","1,500"
E11000007,England,North East,Tyne and Wear (Met County),"1,127,200","58,400","63,400","64,400","65,900","79,000","74,000","76,200","73,300","66,600","67,300","75,200","78,100","71,000","60,300","58,200","38,800","29,500","18,000","9,400"
E08000037,England,North East,Gateshead,"196,100","10,100","11,100","11,300","10,100","10,300","12,700","13,100","13,000","11,900","12,100","13,900","14,200","12,500","10,600","10,700","7,400","5,900","3,500","1,700"
E08000021,England,North East,Newcastle upon Tyne,"300,200","15,600","16,700","16,400","23,400","36,700","23,400","21,300","19,600","16,900","16,000","16,800","17,400","15,500","12,700","11,800","7,900","6,000","4,000","2,200"
E08000022,England,North East,North Tyneside,"209,000","11,000","11,900","12,100","10,400","9,500","12,200","13,900","14,300","13,700","13,600","14,600","15,200","13,600","12,100","11,800","7,800","5,700","3,500","1,900"
E08000023,England,North East,South Tyneside,"147,800","7,800","8,500","8,600","7,500","7,300","8,700","9,900","9,400","8,500","8,700","10,400","11,200","10,500","8,800","8,400","5,600","4,300","2,500","1,300"
E08000024,England,North East,Sunderland,"274,200","13,800","15,200","16,000","14,600","15,100","17,000","18,000","17,100","15,700","16,800","19,500","20,000","18,900","16,100","15,500","10,200","7,700","4,500","2,200"
E12000002,England,North West,North West,"7,417,300","407,700","445,000","452,400","430,900","453,700","476,800","505,900","485,600","444,800","458,300","513,500","512,500","443,700","375,900","379,500","269,800","190,500","110,900","59,600"
E06000008,England,North West,Blackburn with Darwen,"154,800","10,100","11,200","11,700","10,900","9,500","10,100","10,600","10,800","10,000","9,900","10,300","9,400","8,000","6,700","6,200","4,100","2,900","1,700",900
E06000009,England,North West,Blackpool,"141,100","7,400","7,900","7,900","7,400","7,400","8,600","9,500","8,500","7,700","8,600","10,500","11,000","9,400","7,700","7,900","5,800","4,200","2,400","1,300"
E06000049,England,North West,Cheshire East,"398,800","19,900","22,100","22,900","19,700","17,600","21,700","24,300","24,500","23,900","26,400","30,300","30,500","25,600","22,300","24,400","18,000","12,500","7,600","4,400"
E06000050,England,North West,Cheshire West and Chester,"357,200","17,600","19,800","20,300","18,700","19,700","21,300","22,500","22,400","20,900","22,900","26,000","26,600","22,700","19,800","20,600","15,000","10,700","6,200","3,600"
E06000006,England,North West,Halton,"128,200","7,000","7,900","8,100","7,100","6,700","7,900","8,500","8,500","8,000","8,300","9,100","9,100","8,200","7,200","7,100","4,300","2,900","1,600",800
E06000007,England,North West,Warrington,"210,900","10,600","12,400","12,800","11,100","10,500","12,500","13,900","14,200","13,700","14,300","16,100","15,900","12,800","10,700","10,700","8,200","5,800","3,100","1,600"
E10000006,England,North West,Cumbria,"499,800","22,400","25,300","26,800","24,800","23,600","27,800","28,400","28,000","26,300","30,400","37,900","40,000","36,700","32,000","33,700","23,800","16,800","9,900","5,400"
E07000026,England,North West,Allerdale,"96,100","4,400","4,900","5,400","4,600","4,400","5,200","5,200","5,200","5,000","5,800","7,600","7,600","7,100","6,300","6,700","4,500","3,300","1,900","1,100"
E07000027,England,North West,Barrow-in-Furness,"67,400","3,500","3,700","3,700","3,500","3,700","4,400","4,400","4,000","3,500","4,000","5,000","5,100","4,400","3,800","4,100","3,000","2,100","1,100",600
E07000028,England,North West,Carlisle,"110,000","5,400","6,100","6,000","5,600","5,800","6,800","6,900","6,800","6,100","6,800","7,800","8,300","7,700","6,500","6,500","4,500","3,300","2,100","1,000"
E07000029,England,North West,Copeland,"67,100","3,100","3,600","3,600","3,200","3,200","3,800","3,900","3,800","3,500","4,100","5,000","5,600","5,100","4,300","4,400","3,000","2,100","1,200",600
E07000030,England,North West,Eden,"54,700","2,200","2,600","2,800","2,600","2,300","2,600","2,800","2,800","2,800","3,400","4,400","4,800","4,400","3,900","4,000","2,800","2,000","1,200",600
E07000031,England,North West,South Lakeland,"104,500","3,900","4,400","5,200","5,200","4,200","4,900","5,300","5,400","5,400","6,400","8,000","8,700","8,100","7,200","8,000","6,000","4,100","2,500","1,500"
E11000001,England,North West,Greater Manchester (Met County),"2,867,800","173,400","187,100","188,900","175,000","189,900","202,700","213,000","202,500","182,800","177,900","189,100","179,800","151,200","125,400","125,100","88,600","61,700","35,100","18,500"
